team_name,season,country,matches_played,matches_played_home,matches_played_away,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,league_position,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,clean_sheets,clean_sheets_home,clean_sheets_away,average_possession,average_possession_home,average_possession_away,shots,shots_on_target,shots_off_target,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,team_logo
Arsenal FC,2018/2019,England,38,19,19,21,14,7,7,3,4,10,2,8,5,5,73,51,22,124,58,66,42,31,16,35,26,-4,8,7,1,56,58,54,508,214,294,6,9,8,2,8,10,10,7,13,3,7,5,5,9,1,12,1,8, https://upload.wikimedia.org/wikipedia/en/5/53/Arsenal_FC.svg
Tottenham Hotspur FC,2018/2019,England,38,19,19,23,12,11,2,2,0,13,5,8,4,4,67,39,28,106,50,56,34,33,16,23,18,10,13,7,6,57,59,55,581,235,346,6,4,11,5,7,8,8,8,10,3,4,1,2,1,6,4,8,10,https://upload.wikimedia.org/wikipedia/en/b/b4/Tottenham_Hotspur.svg
Manchester City FC,2018/2019,England,38,19,19,32,18,14,2,0,2,4,1,3,1,1,95,23,72,118,69,49,57,38,12,11,45,27,20,9,11,65,66,65,720,299,421,12,13,8,9,13,12,12,6,10,0,2,3,3,3,3,4,2,3,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
Leicester City FC,2018/2019,England,38,19,19,15,8,7,7,3,4,16,8,8,9,9,51,48,3,99,44,55,24,27,20,28,4,-1,10,6,4,50,52,48,553,223,330,1,4,5,3,4,7,5,8,14,8,5,1,7,6,4,7,1,9,https://upload.wikimedia.org/wikipedia/en/2/2d/Leicester_City_crest.svg
Crystal Palace FC,2018/2019,England,38,19,19,14,5,9,7,5,2,17,9,8,12,12,51,53,-2,104,42,62,19,32,23,30,-4,2,12,7,5,47,50,43,536,188,348,1,3,3,10,5,3,7,8,11,1,2,3,4,7,9,8,8,11,https://upload.wikimedia.org/wikipedia/en/0/0c/Crystal_Palace_FC_logo.svg
Everton FC,2018/2019,England,38,19,19,15,10,5,9,4,5,14,5,9,8,8,54,46,8,100,51,49,30,24,21,25,9,-1,14,9,5,52,55,48,530,208,322,5,8,5,5,4,5,8,6,8,2,2,3,6,9,5,10,5,4,https://upload.wikimedia.org/wikipedia/en/7/7c/Everton_FC_logo.svg
Burnley FC,2018/2019,England,38,19,19,11,7,4,7,2,5,20,10,10,15,15,45,68,-23,113,56,57,24,21,32,36,-8,-15,8,5,3,43,46,40,398,154,244,5,5,3,8,3,5,4,4,8,7,10,6,5,4,7,10,4,15,https://upload.wikimedia.org/wikipedia/en/6/62/Burnley_F.C._Logo.svg
Southampton FC,2018/2019,England,38,19,19,9,5,4,12,8,4,17,6,11,16,16,45,65,-20,110,57,53,27,18,30,35,-3,-17,7,3,4,46,45,46,510,194,316,3,8,4,3,7,7,3,5,5,5,6,6,7,6,12,5,4,14,https://upload.wikimedia.org/wikipedia/en/c/c9/FC_Southampton.svg
AFC Bournemouth,2018/2019,England,38,19,19,13,8,5,6,5,1,19,6,13,14,14,56,70,-14,126,55,71,30,26,25,45,5,-19,10,6,4,47,47,47,486,202,284,3,7,4,7,10,4,3,7,11,4,8,7,11,7,8,8,6,11,https://upload.wikimedia.org/wikipedia/en/e/e5/AFC_Bournemouth_%282013%29.svg
Manchester United FC,2018/2019,England,38,19,19,19,10,9,9,6,3,10,3,7,6,6,65,54,11,119,58,61,33,32,25,29,8,3,7,2,5,53,54,52,548,259,289,5,6,9,9,7,6,5,8,10,3,6,9,1,7,7,7,7,7,https://upload.wikimedia.org/wikipedia/en/7/7a/Manchester_United_FC_crest.svg
Liverpool FC,2018/2019,England,38,19,19,30,17,13,7,2,5,1,0,1,2,2,89,22,67,111,65,46,55,34,10,12,45,22,21,12,9,60,62,58,618,269,349,6,10,11,4,12,7,12,8,19,2,2,2,3,1,2,3,3,4,https://upload.wikimedia.org/wikipedia/en/0/0c/Liverpool_FC.svg
Chelsea FC,2018/2019,England,38,19,19,21,12,9,9,6,3,8,1,7,3,3,63,39,24,102,51,51,39,24,12,27,27,-3,16,10,6,59,59,59,644,239,405,3,7,5,6,7,8,6,6,15,3,6,3,3,5,9,3,4,3,https://upload.wikimedia.org/wikipedia/en/c/cc/Chelsea_FC.svg
West Ham United FC,2018/2019,England,38,19,19,15,9,6,7,4,3,16,6,10,10,10,52,55,-3,107,59,48,32,20,27,28,5,-8,7,4,3,49,50,48,483,191,292,3,6,6,5,6,3,10,6,7,5,6,6,3,6,7,5,6,11,https://upload.wikimedia.org/wikipedia/en/c/c2/West_Ham_United_FC_logo.svg
Watford FC,2018/2019,England,38,19,19,14,8,6,8,3,5,16,8,8,11,11,52,59,-7,111,54,57,26,26,28,31,-2,-5,7,4,3,48,48,49,470,194,276,5,5,4,3,4,4,12,7,8,4,6,3,10,7,5,3,12,9,https://upload.wikimedia.org/wikipedia/en/e/e2/Watford.svg
Newcastle United FC,2018/2019,England,38,19,19,12,8,4,9,1,8,17,10,7,13,13,42,48,-6,90,49,41,24,18,25,23,-1,-5,11,5,6,43,48,39,481,184,297,5,5,7,5,2,4,5,1,8,5,6,4,3,5,4,3,6,12,https://upload.wikimedia.org/wikipedia/en/5/56/Newcastle_United_Logo.svg
Cardiff City FC,2018/2019,Wales,38,19,19,10,6,4,4,2,2,24,11,13,18,18,34,69,-35,103,59,44,21,13,38,31,-17,-18,10,5,5,40,42,38,454,161,293,2,3,3,2,4,3,4,4,9,6,8,5,6,6,7,12,3,16, https://upload.wikimedia.org/wikipedia/en/3/3c/Cardiff_City_crest.svg
Fulham FC,2018/2019,England,38,19,19,7,6,1,5,3,2,26,10,16,19,19,34,81,-47,115,58,57,22,12,36,45,-14,-33,5,3,2,46,47,46,474,181,293,3,2,1,5,6,4,5,6,2,7,11,15,3,7,5,8,10,15,https://upload.wikimedia.org/wikipedia/en/e/eb/Fulham_FC_%28shield%29.svg
Brighton & Hove Albion FC,2018/2019,England,38,19,19,9,6,3,9,5,4,20,8,12,17,17,35,60,-25,95,47,48,19,16,28,32,-9,-16,7,5,2,44,46,41,409,148,261,2,3,6,3,4,3,6,5,3,4,2,9,8,8,5,9,9,6, https://upload.wikimedia.org/wikipedia/en/f/fd/Brighton_%26_Hove_Albion_logo.svg
Huddersfield Town FC,2018/2019,England,38,19,19,3,2,1,7,3,4,28,14,14,20,20,22,76,-54,98,41,57,10,12,31,45,-21,-33,5,3,2,49,50,48,436,158,278,4,1,2,3,1,4,2,1,4,6,9,9,7,10,4,7,13,11, https://upload.wikimedia.org/wikipedia/en/7/7d/Huddersfield_Town_A.F.C._logo.png
Wolverhampton Wanderers FC,2018/2019,England,38,19,19,16,10,6,9,4,5,13,5,8,7,7,47,46,1,93,49,44,28,19,21,25,7,-6,9,7,2,46,47,46,518,194,324,2,7,3,1,4,5,6,8,11,4,8,8,1,4,2,5,7,7,https://upload.wikimedia.org/wikipedia/en/f/fc/Wolverhampton_Wanderers.svg
